Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
240,2026-06-07 19:25:20,82.1,58.8,1744.61
241,2026-06-07 19:25:21,45.1,58.8,1744.54
242,2026-06-07 19:25:22,25.8,58.8,1744.52
243,2026-06-07 19:25:23,18.0,58.8,1745.22
244,2026-06-07 19:25:24,21.8,58.5,1737.3
245,2026-06-07 19:25:25,23.6,58.5,1737.26
246,2026-06-07 19:25:26,29.3,58.6,1740.26
247,2026-06-07 19:25:27,82.0,58.6,1741.06
248,2026-06-07 19:25:28,48.8,58.6,1740.95
249,2026-06-07 19:25:29,52.9,58.7,1743.63
250,2026-06-07 19:25:30,20.7,58.7,1743.57
251,2026-06-07 19:25:31,28.8,58.7,1743.79
252,2026-06-07 19:25:32,16.7,58.7,1743.78
253,2026-06-07 19:25:33,24.1,58.7,1743.75
254,2026-06-07 19:25:34,56.1,58.7,1743.68
255,2026-06-07 19:25:35,79.5,58.7,1743.84
256,2026-06-07 19:25:36,51.9,58.7,1743.78
257,2026-06-07 19:25:37,24.2,58.7,1743.73
258,2026-06-07 19:25:38,20.4,58.7,1743.7
259,2026-06-07 19:25:39,25.3,58.7,1743.66
260,2026-06-07 19:25:40,21.3,58.7,1743.65
261,2026-06-07 19:25:41,62.6,58.8,1744.29
262,2026-06-07 19:25:42,88.8,58.8,1744.48
263,2026-06-07 19:25:43,62.4,58.6,1740.66
264,2026-06-07 19:25:44,28.9,58.6,1741.11
265,2026-06-07 19:25:45,31.5,58.6,1741.07
266,2026-06-07 19:25:46,16.8,58.6,1741.05
267,2026-06-07 19:25:47,28.2,58.7,1742.03
268,2026-06-07 19:25:48,58.6,58.7,1741.2
269,2026-06-07 19:25:49,55.2,58.7,1741.37
270,2026-06-07 19:25:50,92.2,58.8,1745.71
271,2026-06-07 19:25:51,49.4,58.8,1745.63
272,2026-06-07 19:25:52,13.3,58.8,1745.62
273,2026-06-07 19:25:53,38.0,58.8,1745.85
274,2026-06-07 19:25:54,15.0,58.8,1745.83
275,2026-06-07 19:25:55,76.0,58.8,1746.73
276,2026-06-07 19:25:56,92.0,58.8,1746.59
277,2026-06-07 19:25:57,42.6,58.8,1746.4
278,2026-06-07 19:25:58,3.3,58.8,1746.38
279,2026-06-07 19:25:59,17.2,58.8,1746.37
